Event Name,Event Date,Event Location,Event URL,Event Summary,Org Name,Org Website
Pittsburgh ISSA Chapter Meeting - Sponsored by Guidepoint Security,8/19/25,Pittsburgh,,An event by Steel City Information Security,Meetup General Events in PGH,https://www.meetup.com/find/?location=us--pa--Glenshaw&source=EVENTS&categoryId=546
BYOB Box & Beatz,8/4/25,Pittsburgh,,A weekly event on Mondays and Wednesdays by Hackers Guild PGH Meetup Group,Meetup General Events in PGH,https://www.meetup.com/find/?location=us--pa--Glenshaw&source=EVENTS&categoryId=546
Lightning Talks!  Episode 1,8/13/25,Pittsburgh,,An event by Pittsburgh C++ Meetup Group,Meetup General Events in PGH,https://www.meetup.com/find/?location=us--pa--Glenshaw&source=EVENTS&categoryId=546
kidmental Presents: Family Friendly Flix & Fun Nights,8/6/25,Pittsburgh,,A weekly event on Wednesdays by Hackers Guild PGH Meetup Group,Meetup General Events in PGH,https://www.meetup.com/find/?location=us--pa--Glenshaw&source=EVENTS&categoryId=546
In-Person Game Development Meetup,8/2/25,Pittsburgh,,A weekly event on Saturdays by Pittsburgh Game Makers,Meetup General Events in PGH,https://www.meetup.com/find/?location=us--pa--Glenshaw&source=EVENTS&categoryId=546
Ellevate + Caffeinate: Worth the Risk,8/8/25,Online,,"Learn how stepping out of your comfort zone can lead to growth, opportunity, and success.",Ellevate,https://www.ellevatenetwork.com/chapters/8-us-pittsburgh
Ellevate + Caffeinate: The Slow Down,9/12/25,Online,,Take a breath and join us for a conversation about the importance of slowing down and some grounding mindfulness exercises.,Ellevate,https://www.ellevatenetwork.com/chapters/8-us-pittsburgh
Pittsburgh Lunch & Learn: Fuel Your Life - Nutrition Discussion with Healthy & Sustainable Cooking Tips,10/8/25,Online,,Join Ellevate Pittsburgh for unique programming focused on how to live a healthy and sustainable lifestyle.,Ellevate,https://www.ellevatenetwork.com/chapters/8-us-pittsburgh
Ellevate + Caffeinate: Get Fit with AI,10/10/25,Online,,"Get ready to sweat smarter, not harder, as we explore the future of fitness with AI-powered workout plans that fit your needs and goals.",Ellevate,https://www.ellevatenetwork.com/chapters/8-us-pittsburgh
Ellevate + Caffeinate: Money Matters,11/14/25,Online,,"Let’s talk finances—how to take control, plan for the future, and make smart money moves in your personal and professional life.",Ellevate,https://www.ellevatenetwork.com/chapters/8-us-pittsburgh
Why Financial Planning Matters- PYP Virtual Lunch & Learn,"Thursday, August 14, 2025",Zoom,https://us02web.zoom.us/j/81496049019?pwd=AaLOQgIwDBLXcX7ARwR9dSzbWwV97L.1,This Virtual event will provide great tips and resources about finances and how you can have a better grasp on your own personal finances.,Pittsburgh Young Professionals,https://pyp23.wildapricot.org/events/
